OBJECTID,ID305B,ATTAINS_HUC4,CYCLE,WATER_NAME,CATEGORY,TYPE,SIZE,UNIT,CAUSE_NAME,ACTN_TYPE_CODE,TMDL_ID,TMDL_NAME,ESTABLISHMENT_DATE,COMMENT,HUC4CODE,HUCNAME,BASIN,DEQ_ADM,WEB_LINK
2279,ID17060305CL003_02,17060305,2022,Cottonwood Creek - source to Cottonwood Creek waterfall,CAT 4A,RIVER,30.32,Miles,"AMMONIA, UN-IONIZED",TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
2282,ID17060305CL003_03,17060305,2022,Cottonwood Creek - source to Cottonwood Creek waterfall,CAT 4A,RIVER,0.39,Miles,"AMMONIA, UN-IONIZED",TMDL,334,COTTONWOOD CREEK,6-Jun-00,,17060305,South Fork Clearwater,Clearwater,LRO,https://mywaterway.epa.gov/plan-summary/IDEQ/334
257,ID17010213PN005_08,17010213,2022,Clark Fork River - Idaho/Montana border to Cabinet Gorge Dam,CAT 4A,RIVER,0.55,Miles,CADMIUM,TMDL,33766,LOWER CLARK RIVER SUBBASIN TMDLS,22-Oct-07,,17010213,Lower Clark Fork,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/33766
239,ID17010213PN001_08,17010213,2022,Clark Fork River Delta - Mosquito Creek to Pend Oreille Lake,CAT 4A,RIVER,11,Miles,CADMIUM,TMDL,33766,LOWER CLARK RIVER SUBBASIN TMDLS,22-Oct-07,,17010213,Lower Clark Fork,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/33766
247,ID17010213PN003_08,17010213,2022,Clark Fork River - Cabinet Gorge Dam to Mosquito Creek,CAT 4A,RIVER,7.45,Miles,CADMIUM,TMDL,33766,LOWER CLARK RIVER SUBBASIN TMDLS,22-Oct-07,,17010213,Lower Clark Fork,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/33766
440,ID17010301PN007_02,17010301,2022,East Fork Eagle Creek and tributaries,CAT 4A,RIVER,16.3,Miles,CADMIUM,TMDL,2047,"COEUR D'ALENE RIVER SUBBASIN, NORTH FORK",19-Feb-02,,17010301,Upper Coeur d Alene,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/2047
816,ID17040206SK001L_0L,17040206,2022,American Falls Reservoir (Snake River),CAT 4A,"LAKE, FRESHWATER",31724.26,Acres,CHLOROPHYLL-A,TMDL,42340,AMERICAN FALLS SUBBASIN TMDL,6-Aug-12,,17040208,Portneuf,Upper Snake,PRO,https://mywaterway.epa.gov/plan-summary/IDEQ/42340
817,ID17040206SK001L_0L,17040206,2022,American Falls Reservoir (Snake River),CAT 4A,"LAKE, FRESHWATER",31724.26,Acres,CHLOROPHYLL-A,TMDL,42340,AMERICAN FALLS SUBBASIN TMDL,6-Aug-12,,17040206,American Falls,Upper Snake,PRO,https://mywaterway.epa.gov/plan-summary/IDEQ/42340
241,ID17010213PN001_08,17010213,2022,Clark Fork River Delta - Mosquito Creek to Pend Oreille Lake,CAT 4A,RIVER,11,Miles,COPPER,TMDL,33766,LOWER CLARK RIVER SUBBASIN TMDLS,22-Oct-07,,17010213,Lower Clark Fork,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/33766
259,ID17010213PN005_08,17010213,2022,Clark Fork River - Idaho/Montana border to Cabinet Gorge Dam,CAT 4A,RIVER,0.55,Miles,COPPER,TMDL,33766,LOWER CLARK RIVER SUBBASIN TMDLS,22-Oct-07,,17010213,Lower Clark Fork,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/33766
248,ID17010213PN003_08,17010213,2022,Clark Fork River - Cabinet Gorge Dam to Mosquito Creek,CAT 4A,RIVER,7.45,Miles,COPPER,TMDL,33766,LOWER CLARK RIVER SUBBASIN TMDLS,22-Oct-07,,17010213,Lower Clark Fork,Panhandle,CRO,https://mywaterway.epa.gov/plan-summary/IDEQ/33766
1920,ID17050201SW003_08,17050201,2022,"Brownlee Reservoir, Lower (Porters Flat to Brownlee Dam)",CAT 4A,"LAKE, FRESHWATER",13193.87,Acres,DDD (DICHLORODIPHENYLDICHLOROETHANE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1677,ID17050103SW001_07a,17050103,2022,Snake River - State line to Boise River,CAT 4A,RIVER,4.19,Miles,DDD (DICHLORODIPHENYLDICHLOROETHANE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050103,Middle Snake-Succor,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1829,ID17050115SW001_08,17050115,2022,Snake River - Boise River to Weiser River,CAT 4A,RIVER,75.57,Miles,DDD (DICHLORODIPHENYLDICHLOROETHANE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050115,Middle Snake-Payette,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1907,ID17050201SW002_08,17050201,2022,Oxbow Reservoir,CAT 4A,"LAKE, FRESHWATER",1106.23,Acres,DDD (DICHLORODIPHENYLDICHLOROETHANE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1923,ID17050201SW004_08,17050201,2022,"Brownlee Reservoir, Upper (Weiser to Porters Flat)",CAT 4A,"LAKE, FRESHWATER",1081.27,Acres,DDD (DICHLORODIPHENYLDICHLOROETHANE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
1906,ID17050201SW002_08,17050201,2022,Oxbow Reservoir,CAT 4A,"LAKE, FRESHWATER",1106.23,Acres,DDE (DICHLORODIPHENYLDICHLOROETHYLENE),TMDL,9781,SNAKE RIVER -- HELLS CANYON TMDL,1-Mar-04,,17050201,Brownlee Reservoir,Southwest,BRO,https://mywaterway.epa.gov/plan-summary/IDEQ/9781
